Latitude,Longitude,LWE
-46.50,17.50,--,2008-07-16
-46.50,18.50,--,2008-07-16
-46.50,19.50,--,2008-07-16
-46.50,20.50,--,2008-07-16
-46.50,21.50,--,2008-07-16
-46.50,22.50,--,2008-07-16
-46.50,23.50,--,2008-07-16
-46.50,24.50,--,2008-07-16
-46.50,25.50,--,2008-07-16
-46.50,26.50,--,2008-07-16
-46.50,27.50,--,2008-07-16
-46.50,28.50,--,2008-07-16
-46.50,29.50,--,2008-07-16
-46.50,30.50,--,2008-07-16
-46.50,31.50,--,2008-07-16
-46.50,32.50,--,2008-07-16
-46.50,33.50,--,2008-07-16
-46.50,34.50,--,2008-07-16
-46.50,35.50,--,2008-07-16
-46.50,36.50,--,2008-07-16
-46.50,37.50,--,2008-07-16
-45.50,17.50,--,2008-07-16
-45.50,18.50,--,2008-07-16
-45.50,19.50,--,2008-07-16
-45.50,20.50,--,2008-07-16
-45.50,21.50,--,2008-07-16
-45.50,22.50,--,2008-07-16
-45.50,23.50,--,2008-07-16
-45.50,24.50,--,2008-07-16
-45.50,25.50,--,2008-07-16
-45.50,26.50,--,2008-07-16
-45.50,27.50,--,2008-07-16
-45.50,28.50,--,2008-07-16
-45.50,29.50,--,2008-07-16
-45.50,30.50,--,2008-07-16
-45.50,31.50,--,2008-07-16
-45.50,32.50,--,2008-07-16
-45.50,33.50,--,2008-07-16
-45.50,34.50,--,2008-07-16
-45.50,35.50,--,2008-07-16
-45.50,36.50,--,2008-07-16
-45.50,37.50,--,2008-07-16
-44.50,17.50,--,2008-07-16
-44.50,18.50,--,2008-07-16
-44.50,19.50,--,2008-07-16
-44.50,20.50,--,2008-07-16
-44.50,21.50,--,2008-07-16
-44.50,22.50,--,2008-07-16
-44.50,23.50,--,2008-07-16
-44.50,24.50,--,2008-07-16
-44.50,25.50,--,2008-07-16
-44.50,26.50,--,2008-07-16
-44.50,27.50,--,2008-07-16
-44.50,28.50,--,2008-07-16
-44.50,29.50,--,2008-07-16
-44.50,30.50,--,2008-07-16
-44.50,31.50,--,2008-07-16
-44.50,32.50,--,2008-07-16
-44.50,33.50,--,2008-07-16
-44.50,34.50,--,2008-07-16
-44.50,35.50,--,2008-07-16
-44.50,36.50,--,2008-07-16
-44.50,37.50,--,2008-07-16
-43.50,17.50,--,2008-07-16
-43.50,18.50,--,2008-07-16
-43.50,19.50,--,2008-07-16
-43.50,20.50,--,2008-07-16
-43.50,21.50,--,2008-07-16
-43.50,22.50,--,2008-07-16
-43.50,23.50,--,2008-07-16
-43.50,24.50,--,2008-07-16
-43.50,25.50,--,2008-07-16
-43.50,26.50,--,2008-07-16
-43.50,27.50,--,2008-07-16
-43.50,28.50,--,2008-07-16
-43.50,29.50,--,2008-07-16
-43.50,30.50,--,2008-07-16
-43.50,31.50,--,2008-07-16
-43.50,32.50,--,2008-07-16
-43.50,33.50,--,2008-07-16
-43.50,34.50,--,2008-07-16
-43.50,35.50,--,2008-07-16
-43.50,36.50,--,2008-07-16
-43.50,37.50,--,2008-07-16
-42.50,17.50,--,2008-07-16
-42.50,18.50,--,2008-07-16
-42.50,19.50,--,2008-07-16
-42.50,20.50,--,2008-07-16
-42.50,21.50,--,2008-07-16
-42.50,22.50,--,2008-07-16
-42.50,23.50,--,2008-07-16
-42.50,24.50,--,2008-07-16
-42.50,25.50,--,2008-07-16
-42.50,26.50,--,2008-07-16
-42.50,27.50,--,2008-07-16
-42.50,28.50,--,2008-07-16
-42.50,29.50,--,2008-07-16
-42.50,30.50,--,2008-07-16
-42.50,31.50,--,2008-07-16
-42.50,32.50,--,2008-07-16
-42.50,33.50,--,2008-07-16
-42.50,34.50,--,2008-07-16
-42.50,35.50,--,2008-07-16
-42.50,36.50,--,2008-07-16
-42.50,37.50,--,2008-07-16
-41.50,17.50,--,2008-07-16
-41.50,18.50,--,2008-07-16
-41.50,19.50,--,2008-07-16
-41.50,20.50,--,2008-07-16
-41.50,21.50,--,2008-07-16
-41.50,22.50,--,2008-07-16
-41.50,23.50,--,2008-07-16
-41.50,24.50,--,2008-07-16
-41.50,25.50,--,2008-07-16
-41.50,26.50,--,2008-07-16
-41.50,27.50,--,2008-07-16
-41.50,28.50,--,2008-07-16
-41.50,29.50,--,2008-07-16
-41.50,30.50,--,2008-07-16
-41.50,31.50,--,2008-07-16
-41.50,32.50,--,2008-07-16
-41.50,33.50,--,2008-07-16
-41.50,34.50,--,2008-07-16
-41.50,35.50,--,2008-07-16
-41.50,36.50,--,2008-07-16
-41.50,37.50,--,2008-07-16
-40.50,17.50,--,2008-07-16
-40.50,18.50,--,2008-07-16
-40.50,19.50,--,2008-07-16
-40.50,20.50,--,2008-07-16
-40.50,21.50,--,2008-07-16
-40.50,22.50,--,2008-07-16
-40.50,23.50,--,2008-07-16
-40.50,24.50,--,2008-07-16
-40.50,25.50,--,2008-07-16
-40.50,26.50,--,2008-07-16
-40.50,27.50,--,2008-07-16
-40.50,28.50,--,2008-07-16
-40.50,29.50,--,2008-07-16
-40.50,30.50,--,2008-07-16
-40.50,31.50,--,2008-07-16
-40.50,32.50,--,2008-07-16
-40.50,33.50,--,2008-07-16
-40.50,34.50,--,2008-07-16
-40.50,35.50,--,2008-07-16
-40.50,36.50,--,2008-07-16
-40.50,37.50,--,2008-07-16
-39.50,17.50,--,2008-07-16
-39.50,18.50,--,2008-07-16
-39.50,19.50,--,2008-07-16
-39.50,20.50,--,2008-07-16
-39.50,21.50,--,2008-07-16
-39.50,22.50,--,2008-07-16
-39.50,23.50,--,2008-07-16
-39.50,24.50,--,2008-07-16
-39.50,25.50,--,2008-07-16
-39.50,26.50,--,2008-07-16
-39.50,27.50,--,2008-07-16
-39.50,28.50,--,2008-07-16
-39.50,29.50,--,2008-07-16
-39.50,30.50,--,2008-07-16
-39.50,31.50,--,2008-07-16
-39.50,32.50,--,2008-07-16
-39.50,33.50,--,2008-07-16
-39.50,34.50,--,2008-07-16
-39.50,35.50,--,2008-07-16
-39.50,36.50,--,2008-07-16
-39.50,37.50,--,2008-07-16
-38.50,17.50,--,2008-07-16
-38.50,18.50,--,2008-07-16
-38.50,19.50,--,2008-07-16
-38.50,20.50,--,2008-07-16
-38.50,21.50,--,2008-07-16
-38.50,22.50,--,2008-07-16
-38.50,23.50,--,2008-07-16
-38.50,24.50,--,2008-07-16
-38.50,25.50,--,2008-07-16
-38.50,26.50,--,2008-07-16
-38.50,27.50,--,2008-07-16
-38.50,28.50,--,2008-07-16
-38.50,29.50,--,2008-07-16
-38.50,30.50,--,2008-07-16
-38.50,31.50,--,2008-07-16
-38.50,32.50,--,2008-07-16
-38.50,33.50,--,2008-07-16
-38.50,34.50,--,2008-07-16
-38.50,35.50,--,2008-07-16
-38.50,36.50,--,2008-07-16
-38.50,37.50,--,2008-07-16
-37.50,17.50,--,2008-07-16
-37.50,18.50,--,2008-07-16
-37.50,19.50,--,2008-07-16
-37.50,20.50,--,2008-07-16
-37.50,21.50,--,2008-07-16
-37.50,22.50,--,2008-07-16
-37.50,23.50,--,2008-07-16
-37.50,24.50,--,2008-07-16
-37.50,25.50,--,2008-07-16
-37.50,26.50,--,2008-07-16
-37.50,27.50,--,2008-07-16
-37.50,28.50,--,2008-07-16
-37.50,29.50,--,2008-07-16
-37.50,30.50,--,2008-07-16
-37.50,31.50,--,2008-07-16
-37.50,32.50,--,2008-07-16
-37.50,33.50,--,2008-07-16
-37.50,34.50,--,2008-07-16
-37.50,35.50,--,2008-07-16
-37.50,36.50,--,2008-07-16
-37.50,37.50,--,2008-07-16
-36.50,17.50,0.01028,2008-07-16
-36.50,18.50,0.01114,2008-07-16
-36.50,19.50,0.01103,2008-07-16
-36.50,20.50,0.01008,2008-07-16
-36.50,21.50,0.00865,2008-07-16
-36.50,22.50,0.00712,2008-07-16
-36.50,23.50,0.00582,2008-07-16
-36.50,24.50,--,2008-07-16
-36.50,25.50,--,2008-07-16
-36.50,26.50,--,2008-07-16
-36.50,27.50,--,2008-07-16
-36.50,28.50,--,2008-07-16
-36.50,29.50,--,2008-07-16
-36.50,30.50,--,2008-07-16
-36.50,31.50,--,2008-07-16
-36.50,32.50,--,2008-07-16
-36.50,33.50,--,2008-07-16
-36.50,34.50,--,2008-07-16
-36.50,35.50,--,2008-07-16
-36.50,36.50,--,2008-07-16
-36.50,37.50,--,2008-07-16
-35.50,17.50,0.01559,2008-07-16
-35.50,18.50,0.01606,2008-07-16
-35.50,19.50,0.01526,2008-07-16
-35.50,20.50,0.01341,2008-07-16
-35.50,21.50,0.01090,2008-07-16
-35.50,22.50,0.00824,2008-07-16
-35.50,23.50,0.00585,2008-07-16
-35.50,24.50,0.00404,2008-07-16
-35.50,25.50,0.00294,2008-07-16
-35.50,26.50,0.00252,2008-07-16
-35.50,27.50,0.00263,2008-07-16
-35.50,28.50,0.00309,2008-07-16
-35.50,29.50,--,2008-07-16
-35.50,30.50,--,2008-07-16
-35.50,31.50,--,2008-07-16
-35.50,32.50,--,2008-07-16
-35.50,33.50,--,2008-07-16
-35.50,34.50,--,2008-07-16
-35.50,35.50,--,2008-07-16
-35.50,36.50,--,2008-07-16
-35.50,37.50,--,2008-07-16
-34.50,17.50,0.02053,2008-07-16
-34.50,18.50,0.02085,2008-07-16
-34.50,19.50,0.01977,2008-07-16
-34.50,20.50,0.01748,2008-07-16
-34.50,21.50,0.01439,2008-07-16
-34.50,22.50,0.01100,2008-07-16
-34.50,23.50,0.00777,2008-07-16
-34.50,24.50,0.00509,2008-07-16
-34.50,25.50,0.00322,2008-07-16
-34.50,26.50,0.00223,2008-07-16
-34.50,27.50,0.00204,2008-07-16
-34.50,28.50,0.00243,2008-07-16
-34.50,29.50,0.00309,2008-07-16
-34.50,30.50,--,2008-07-16
-34.50,31.50,--,2008-07-16
-34.50,32.50,--,2008-07-16
-34.50,33.50,--,2008-07-16
-34.50,34.50,--,2008-07-16
-34.50,35.50,--,2008-07-16
-34.50,36.50,--,2008-07-16
-34.50,37.50,--,2008-07-16
-33.50,17.50,0.02398,2008-07-16
-33.50,18.50,0.02461,2008-07-16
-33.50,19.50,0.02381,2008-07-16
-33.50,20.50,0.02173,2008-07-16
-33.50,21.50,0.01872,2008-07-16
-33.50,22.50,0.01520,2008-07-16
-33.50,23.50,0.01164,2008-07-16
-33.50,24.50,0.00844,2008-07-16
-33.50,25.50,0.00594,2008-07-16
-33.50,26.50,0.00435,2008-07-16
-33.50,27.50,0.00366,2008-07-16
-33.50,28.50,0.00364,2008-07-16
-33.50,29.50,0.00390,2008-07-16
-33.50,30.50,0.00400,2008-07-16
-33.50,31.50,0.00365,2008-07-16
-33.50,32.50,--,2008-07-16
-33.50,33.50,--,2008-07-16
-33.50,34.50,--,2008-07-16
-33.50,35.50,--,2008-07-16
-33.50,36.50,--,2008-07-16
-33.50,37.50,--,2008-07-16
-32.50,17.50,0.02540,2008-07-16
-32.50,18.50,0.02675,2008-07-16
-32.50,19.50,0.02669,2008-07-16
-32.50,20.50,0.02532,2008-07-16
-32.50,21.50,0.02290,2008-07-16
-32.50,22.50,0.01979,2008-07-16
-32.50,23.50,0.01638,2008-07-16
-32.50,24.50,0.01309,2008-07-16
-32.50,25.50,0.01032,2008-07-16
-32.50,26.50,0.00835,2008-07-16
-32.50,27.50,0.00724,2008-07-16
-32.50,28.50,0.00676,2008-07-16
-32.50,29.50,0.00644,2008-07-16
-32.50,30.50,0.00575,2008-07-16
-32.50,31.50,0.00429,2008-07-16
-32.50,32.50,--,2008-07-16
-32.50,33.50,--,2008-07-16
-32.50,34.50,--,2008-07-16
-32.50,35.50,--,2008-07-16
-32.50,36.50,--,2008-07-16
-32.50,37.50,--,2008-07-16
-31.50,17.50,0.02493,2008-07-16
-31.50,18.50,0.02712,2008-07-16
-31.50,19.50,0.02793,2008-07-16
-31.50,20.50,0.02737,2008-07-16
-31.50,21.50,0.02567,2008-07-16
-31.50,22.50,0.02313,2008-07-16
-31.50,23.50,0.02012,2008-07-16
-31.50,24.50,0.01706,2008-07-16
-31.50,25.50,0.01435,2008-07-16
-31.50,26.50,0.01232,2008-07-16
-31.50,27.50,0.01106,2008-07-16
-31.50,28.50,0.01031,2008-07-16
-31.50,29.50,0.00957,2008-07-16
-31.50,30.50,0.00820,2008-07-16
-31.50,31.50,0.00579,2008-07-16
-31.50,32.50,0.00229,2008-07-16
-31.50,33.50,--,2008-07-16
-31.50,34.50,--,2008-07-16
-31.50,35.50,--,2008-07-16
-31.50,36.50,--,2008-07-16
-31.50,37.50,--,2008-07-16
-30.50,17.50,0.02313,2008-07-16
-30.50,18.50,0.02588,2008-07-16
-30.50,19.50,0.02725,2008-07-16
-30.50,20.50,0.02721,2008-07-16
-30.50,21.50,0.02595,2008-07-16
-30.50,22.50,0.02381,2008-07-16
-30.50,23.50,0.02115,2008-07-16
-30.50,24.50,0.01838,2008-07-16
-30.50,25.50,0.01591,2008-07-16
-30.50,26.50,0.01407,2008-07-16
-30.50,27.50,0.01292,2008-07-16
-30.50,28.50,0.01220,2008-07-16
-30.50,29.50,0.01134,2008-07-16
-30.50,30.50,0.00969,2008-07-16
-30.50,31.50,0.00680,2008-07-16
-30.50,32.50,0.00267,2008-07-16
-30.50,33.50,-0.00224,2008-07-16
-30.50,34.50,--,2008-07-16
-30.50,35.50,--,2008-07-16
-30.50,36.50,--,2008-07-16
-30.50,37.50,--,2008-07-16
-29.50,17.50,0.02062,2008-07-16
-29.50,18.50,0.02333,2008-07-16
-29.50,19.50,0.02469,2008-07-16
-29.50,20.50,0.02467,2008-07-16
-29.50,21.50,0.02346,2008-07-16
-29.50,22.50,0.02142,2008-07-16
-29.50,23.50,0.01892,2008-07-16
-29.50,24.50,0.01637,2008-07-16
-29.50,25.50,0.01415,2008-07-16
-29.50,26.50,0.01256,2008-07-16
-29.50,27.50,0.01164,2008-07-16
-29.50,28.50,0.01113,2008-07-16
-29.50,29.50,0.01046,2008-07-16
-29.50,30.50,0.00895,2008-07-16
-29.50,31.50,0.00617,2008-07-16
-29.50,32.50,0.00209,2008-07-16
-29.50,33.50,-0.00278,2008-07-16
-29.50,34.50,-0.00767,2008-07-16
-29.50,35.50,--,2008-07-16
-29.50,36.50,--,2008-07-16
-29.50,37.50,--,2008-07-16
-28.50,17.50,0.01776,2008-07-16
-28.50,18.50,0.01975,2008-07-16
-28.50,19.50,0.02058,2008-07-16
-28.50,20.50,0.02020,2008-07-16
-28.50,21.50,0.01882,2008-07-16
-28.50,22.50,0.01675,2008-07-16
-28.50,23.50,0.01436,2008-07-16
-28.50,24.50,0.01198,2008-07-16
-28.50,25.50,0.00995,2008-07-16
-28.50,26.50,0.00853,2008-07-16
-28.50,27.50,0.00778,2008-07-16
-28.50,28.50,0.00747,2008-07-16
-28.50,29.50,0.00709,2008-07-16
-28.50,30.50,0.00601,2008-07-16
-28.50,31.50,0.00379,2008-07-16
-28.50,32.50,0.00038,2008-07-16
-28.50,33.50,-0.00381,2008-07-16
-28.50,34.50,-0.00810,2008-07-16
-28.50,35.50,--,2008-07-16
-28.50,36.50,--,2008-07-16
-28.50,37.50,--,2008-07-16
-27.50,17.50,0.01463,2008-07-16
-27.50,18.50,0.01545,2008-07-16
-27.50,19.50,0.01548,2008-07-16
-27.50,20.50,0.01468,2008-07-16
-27.50,21.50,0.01321,2008-07-16
-27.50,22.50,0.01128,2008-07-16
-27.50,23.50,0.00914,2008-07-16
-27.50,24.50,0.00702,2008-07-16
-27.50,25.50,0.00518,2008-07-16
-27.50,26.50,0.00384,2008-07-16
-27.50,27.50,0.00310,2008-07-16
-27.50,28.50,0.00283,2008-07-16
-27.50,29.50,0.00265,2008-07-16
-27.50,30.50,0.00206,2008-07-16
-27.50,31.50,0.00062,2008-07-16
-27.50,32.50,-0.00177,2008-07-16
-27.50,33.50,-0.00485,2008-07-16
-27.50,34.50,-0.00812,2008-07-16
-27.50,35.50,-0.01104,2008-07-16
-27.50,36.50,--,2008-07-16
-27.50,37.50,--,2008-07-16
-26.50,17.50,0.01124,2008-07-16
-26.50,18.50,0.01077,2008-07-16
-26.50,19.50,0.01003,2008-07-16
-26.50,20.50,0.00900,2008-07-16
-26.50,21.50,0.00770,2008-07-16
-26.50,22.50,0.00620,2008-07-16
-26.50,23.50,0.00456,2008-07-16
-26.50,24.50,0.00287,2008-07-16
-26.50,25.50,0.00128,2008-07-16
-26.50,26.50,-0.00002,2008-07-16
-26.50,27.50,-0.00087,2008-07-16
-26.50,28.50,-0.00126,2008-07-16
-26.50,29.50,-0.00140,2008-07-16
-26.50,30.50,-0.00161,2008-07-16
-26.50,31.50,-0.00226,2008-07-16
-26.50,32.50,-0.00354,2008-07-16
-26.50,33.50,-0.00536,2008-07-16
-26.50,34.50,-0.00741,2008-07-16
-26.50,35.50,-0.00931,2008-07-16
-26.50,36.50,-0.01076,2008-07-16
-26.50,37.50,--,2008-07-16
-25.50,17.50,0.00767,2008-07-16
-25.50,18.50,0.00612,2008-07-16
-25.50,19.50,0.00484,2008-07-16
-25.50,20.50,0.00375,2008-07-16
-25.50,21.50,0.00277,2008-07-16
-25.50,22.50,0.00180,2008-07-16
-25.50,23.50,0.00074,2008-07-16
-25.50,24.50,-0.00044,2008-07-16
-25.50,25.50,-0.00169,2008-07-16
-25.50,26.50,-0.00289,2008-07-16
-25.50,27.50,-0.00385,2008-07-16
-25.50,28.50,-0.00443,2008-07-16
-25.50,29.50,-0.00462,2008-07-16
-25.50,30.50,-0.00457,2008-07-16
-25.50,31.50,-0.00455,2008-07-16
-25.50,32.50,-0.00479,2008-07-16
-25.50,33.50,-0.00539,2008-07-16
-25.50,34.50,-0.00624,2008-07-16
-25.50,35.50,-0.00706,2008-07-16
-25.50,36.50,-0.00757,2008-07-16
-25.50,37.50,--,2008-07-16
