Coordinate,2018-06-16,2018-07-10,2018-10-31,2018-11-16,2018-12-16,2019-01-16,2019-02-14,2019-03-16,2019-04-16,2019-05-16,2019-06-16,2019-07-16,2019-08-16,2019-09-16,2019-10-16,2019-11-16,2019-12-16
"(-36.5, 17.5)",0.00021,0.02078,0.08339,0.03652,0.02036,0.02677,0.01244,-0.00272,0.00481,0.02431,0.04048,0.06209,0.04439,0.06243,0.06209,0.04095,0.01557
"(-36.5, 18.5)",-0.00134,0.02044,0.08103,0.02896,0.01903,0.01668,0.00657,-0.00170,0.00538,0.02385,0.04239,0.05789,0.04424,0.06332,0.05522,0.03468,0.01382
"(-36.5, 19.5)",-0.00180,0.02005,0.07582,0.02142,0.01747,0.00779,0.00132,-0.00058,0.00707,0.02235,0.04364,0.05369,0.04314,0.06331,0.04694,0.02987,0.01317
"(-36.5, 20.5)",-0.00128,0.01992,0.06824,0.01457,0.01600,0.00128,-0.00286,0.00055,0.00994,0.02004,0.04427,0.04978,0.04098,0.06239,0.03806,0.02726,0.01369
"(-36.5, 21.5)",-0.00005,0.02036,0.05923,0.00902,0.01483,-0.00208,-0.00561,0.00165,0.01389,0.01732,0.04436,0.04628,0.03790,0.06065,0.02952,0.02719,0.01535
"(-36.5, 22.5)",0.00148,0.02157,0.04998,0.00517,0.01406,-0.00203,-0.00679,0.00271,0.01867,0.01463,0.04403,0.04323,0.03426,0.05834,0.02224,0.02943,0.01804
"(-36.5, 23.5)",0.00286,0.02361,0.04160,0.00312,0.01372,0.00111,-0.00648,0.00378,0.02382,0.01241,0.04347,0.04067,0.03063,0.05583,0.01703,0.03327,0.02157
"(-35.5, 17.5)",0.00166,0.01728,0.07759,0.03835,0.02160,0.02379,0.00881,-0.00381,0.00509,0.01698,0.03415,0.05603,0.04553,0.05673,0.05846,0.04381,0.01472
"(-35.5, 18.5)",0.00041,0.01689,0.07513,0.03120,0.01997,0.01495,0.00375,-0.00337,0.00492,0.01504,0.03542,0.05154,0.04438,0.05660,0.05071,0.03716,0.01142
"(-35.5, 19.5)",0.00015,0.01639,0.07000,0.02356,0.01769,0.00681,-0.00087,-0.00275,0.00602,0.01231,0.03606,0.04689,0.04195,0.05543,0.04113,0.03094,0.00894
"(-35.5, 20.5)",0.00079,0.01603,0.06263,0.01611,0.01510,0.00049,-0.00469,-0.00205,0.00843,0.00913,0.03592,0.04242,0.03815,0.05334,0.03073,0.02604,0.00747
"(-35.5, 21.5)",0.00211,0.01617,0.05395,0.00962,0.01259,-0.00318,-0.00737,-0.00134,0.01199,0.00600,0.03500,0.03840,0.03322,0.05057,0.02074,0.02310,0.00721
"(-35.5, 22.5)",0.00377,0.01710,0.04509,0.00470,0.01049,-0.00385,-0.00871,-0.00061,0.01631,0.00349,0.03354,0.03503,0.02770,0.04750,0.01242,0.02232,0.00829
"(-35.5, 23.5)",0.00539,0.01902,0.03719,0.00170,0.00910,-0.00166,-0.00869,0.00022,0.02087,0.00210,0.03197,0.03252,0.02236,0.04463,0.00682,0.02345,0.01077
"(-35.5, 24.5)",0.00662,0.02197,0.03112,0.00059,0.00863,0.00283,-0.00750,0.00121,0.02511,0.00216,0.03082,0.03109,0.01813,0.04249,0.00465,0.02589,0.01455
"(-35.5, 25.5)",0.00717,0.02589,0.02735,0.00098,0.00911,0.00879,-0.00557,0.00241,0.02852,0.00378,0.03058,0.03100,0.01590,0.04154,0.00611,0.02893,0.01937
"(-35.5, 26.5)",0.00690,0.03065,0.02580,0.00220,0.01039,0.01530,-0.00343,0.00385,0.03077,0.00680,0.03149,0.03241,0.01635,0.04194,0.01083,0.03188,0.02469
"(-35.5, 27.5)",0.00583,0.03608,0.02597,0.00342,0.01210,0.02154,-0.00162,0.00554,0.03175,0.01087,0.03348,0.03524,0.01975,0.04345,0.01793,0.03427,0.02977
"(-35.5, 28.5)",0.00413,0.04189,0.02697,0.00391,0.01375,0.02689,-0.00051,0.00757,0.03154,0.01546,0.03612,0.03912,0.02585,0.04536,0.02619,0.03579,0.03378
"(-34.5, 17.5)",0.00121,0.01404,0.06852,0.03660,0.02154,0.01836,0.00456,-0.00622,0.00340,0.00963,0.02557,0.04923,0.04375,0.04874,0.05161,0.04176,0.01240
"(-34.5, 18.5)",0.00012,0.01361,0.06544,0.02975,0.01898,0.01085,-0.00002,-0.00677,0.00237,0.00623,0.02591,0.04449,0.04106,0.04752,0.04329,0.03524,0.00743
"(-34.5, 19.5)",-0.00004,0.01295,0.05997,0.02199,0.01542,0.00359,-0.00428,-0.00688,0.00277,0.00224,0.02574,0.03918,0.03685,0.04498,0.03273,0.02804,0.00298
"(-34.5, 20.5)",0.00071,0.01227,0.05259,0.01404,0.01126,-0.00242,-0.00792,-0.00669,0.00466,-0.00186,0.02477,0.03381,0.03119,0.04141,0.02110,0.02114,-0.00057
"(-34.5, 21.5)",0.00220,0.01196,0.04417,0.00677,0.00704,-0.00634,-0.01063,-0.00626,0.00779,-0.00548,0.02292,0.02885,0.02449,0.03723,0.00984,0.01544,-0.00283
"(-34.5, 22.5)",0.00420,0.01242,0.03585,0.00097,0.00337,-0.00773,-0.01212,-0.00559,0.01167,-0.00793,0.02049,0.02480,0.01747,0.03299,0.00044,0.01158,-0.00343
"(-34.5, 23.5)",0.00640,0.01403,0.02871,-0.00280,0.00082,-0.00655,-0.01229,-0.00460,0.01573,-0.00867,0.01811,0.02208,0.01107,0.02932,-0.00579,0.00983,-0.00212
"(-34.5, 24.5)",0.00845,0.01697,0.02360,-0.00438,-0.00018,-0.00316,-0.01123,-0.00326,0.01939,-0.00736,0.01660,0.02113,0.00633,0.02691,-0.00797,0.01011,0.00117
"(-34.5, 25.5)",0.01003,0.02128,0.02090,-0.00405,0.00055,0.00181,-0.00929,-0.00156,0.02224,-0.00400,0.01671,0.02228,0.00422,0.02632,-0.00580,0.01208,0.00621
"(-34.5, 26.5)",0.01087,0.02682,0.02050,-0.00249,0.00281,0.00765,-0.00697,0.00047,0.02407,0.00111,0.01881,0.02560,0.00542,0.02773,0.00033,0.01526,0.01241
"(-34.5, 27.5)",0.01085,0.03329,0.02177,-0.00058,0.00607,0.01363,-0.00481,0.00281,0.02488,0.00737,0.02278,0.03075,0.01012,0.03082,0.00938,0.01907,0.01887
"(-34.5, 28.5)",0.00997,0.04023,0.02373,0.00077,0.00953,0.01915,-0.00324,0.00546,0.02481,0.01404,0.02796,0.03699,0.01796,0.03474,0.01981,0.02288,0.02457
"(-34.5, 29.5)",0.00838,0.04708,0.02527,0.00089,0.01234,0.02374,-0.00245,0.00852,0.02411,0.02033,0.03341,0.04323,0.02799,0.03827,0.02988,0.02606,0.02857
