Latitude,Longitude,LWE_Data,Date
-36.50,17.50,-0.04188,20020417
-36.50,18.50,-0.04049,20020417
-36.50,19.50,-0.03818,20020417
-36.50,20.50,-0.03548,20020417
-36.50,21.50,-0.03330,20020417
-36.50,22.50,-0.03268,20020417
-36.50,23.50,-0.03439,20020417
-35.50,17.50,-0.03728,20020417
-35.50,18.50,-0.03638,20020417
-35.50,19.50,-0.03404,20020417
-35.50,20.50,-0.03094,20020417
-35.50,21.50,-0.02831,20020417
-35.50,22.50,-0.02754,20020417
-35.50,23.50,-0.02961,20020417
-35.50,24.50,-0.03481,20020417
-35.50,25.50,-0.04267,20020417
-35.50,26.50,-0.05222,20020417
-35.50,27.50,-0.06228,20020417
-35.50,28.50,-0.07172,20020417
-34.50,17.50,-0.03379,20020417
-34.50,18.50,-0.03226,20020417
-34.50,19.50,-0.02927,20020417
-34.50,20.50,-0.02578,20020417
-34.50,21.50,-0.02331,20020417
-34.50,22.50,-0.02336,20020417
-34.50,23.50,-0.02691,20020417
-34.50,24.50,-0.03397,20020417
-34.50,25.50,-0.04359,20020417
-34.50,26.50,-0.05428,20020417
-34.50,27.50,-0.06446,20020417
-34.50,28.50,-0.07293,20020417
-34.50,29.50,-0.07896,20020417
-33.50,17.50,-0.03059,20020417
-33.50,18.50,-0.02702,20020417
-33.50,19.50,-0.02255,20020417
-33.50,20.50,-0.01841,20020417
-33.50,21.50,-0.01619,20020417
-33.50,22.50,-0.01736,20020417
-33.50,23.50,-0.02265,20020417
-33.50,24.50,-0.03168,20020417
-33.50,25.50,-0.04299,20020417
-33.50,26.50,-0.05447,20020417
-33.50,27.50,-0.06414,20020417
-33.50,28.50,-0.07069,20020417
-33.50,29.50,-0.07372,20020417
-33.50,30.50,-0.07351,20020417
-33.50,31.50,-0.07059,20020417
-32.50,17.50,-0.02664,20020417
-32.50,18.50,-0.02032,20020417
-32.50,19.50,-0.01407,20020417
-32.50,20.50,-0.00915,20020417
-32.50,21.50,-0.00697,20020417
-32.50,22.50,-0.00875,20020417
-32.50,23.50,-0.01495,20020417
-32.50,24.50,-0.02494,20020417
-32.50,25.50,-0.03689,20020417
-32.50,26.50,-0.04836,20020417
-32.50,27.50,-0.05704,20020417
-32.50,28.50,-0.06153,20020417
-32.50,29.50,-0.06170,20020417
-32.50,30.50,-0.05842,20020417
-32.50,31.50,-0.05303,20020417
-31.50,17.50,-0.02203,20020417
-31.50,18.50,-0.01358,20020417
-31.50,19.50,-0.00626,20020417
-31.50,20.50,-0.00097,20020417
-31.50,21.50,0.00136,20020417
-31.50,22.50,-0.00008,20020417
-31.50,23.50,-0.00562,20020417
-31.50,24.50,-0.01464,20020417
-31.50,25.50,-0.02546,20020417
-31.50,26.50,-0.03569,20020417
-31.50,27.50,-0.04302,20020417
-31.50,28.50,-0.04603,20020417
-31.50,29.50,-0.04467,20020417
-31.50,30.50,-0.04014,20020417
-31.50,31.50,-0.03421,20020417
-31.50,32.50,-0.02852,20020417
-30.50,17.50,-0.01798,20020417
-30.50,18.50,-0.00916,20020417
-30.50,19.50,-0.00224,20020417
-30.50,20.50,0.00256,20020417
-30.50,21.50,0.00504,20020417
-30.50,22.50,0.00484,20020417
-30.50,23.50,0.00163,20020417
-30.50,24.50,-0.00438,20020417
-30.50,25.50,-0.01214,20020417
-30.50,26.50,-0.01983,20020417
-30.50,27.50,-0.02553,20020417
-30.50,28.50,-0.02795,20020417
-30.50,29.50,-0.02700,20020417
-30.50,30.50,-0.02376,20020417
-30.50,31.50,-0.01992,20020417
-30.50,32.50,-0.01705,20020417
-30.50,33.50,-0.01610,20020417
-29.50,17.50,-0.01546,20020417
-29.50,18.50,-0.00815,20020417
-29.50,19.50,-0.00304,20020417
-29.50,20.50,0.00047,20020417
-29.50,21.50,0.00296,20020417
-29.50,22.50,0.00448,20020417
-29.50,23.50,0.00460,20020417
-29.50,24.50,0.00290,20020417
-29.50,25.50,-0.00048,20020417
-29.50,26.50,-0.00471,20020417
-29.50,27.50,-0.00859,20020417
-29.50,28.50,-0.01118,20020417
-29.50,29.50,-0.01231,20020417
-29.50,30.50,-0.01262,20020417
-29.50,31.50,-0.01316,20020417
-29.50,32.50,-0.01488,20020417
-29.50,33.50,-0.01811,20020417
-29.50,34.50,-0.02259,20020417
-28.50,17.50,-0.01396,20020417
